STORE_ID,DISPLAY_NAME,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIPCODE,PHONE_NUMBER
31291,Mesa Pavilions at Superstition,6948 East Hampton Avenue,Mesa Pavilions at Superstition,Mesa,AZ,85209,1-480-396-7440
31292,Shoppes at the Meadows,8368 South Willow Street,Shoppes at the Meadows,Littleton,CO,80124,1-303-706-9611
31296,The Shops at Oak Brook Place,"2155 West 22nd Street, Suite 7",The Shops at Oak Brook Place,Oak Brook,IL,60523,1-630-573-9324
31299,Ridgehaven Mall,13145 Ridgedale Drive,Ridgehaven Mall,Minnetonka,MN,55305,1-952-540-1012
31300,Gateway Plaza,499 Sunrise Highway,Gateway Plaza,Patchogue,NY,11772,1-631-758-4603
31301,Grand Hunt Shopping Center,6517 Grand Avenue,Grand Hunt Shopping Center,Gurnee,IL,60031,1-847-856-1002
31302,King Kullen Plaza,78 Veterans Memorial Highway,King Kullen Plaza,Commack,NY,11725,1-631-499-2639
31303,Randall Square,1560 South Randall Road,Randall Square,Geneva,IL,60134,1-630-232-1320
31304,University Hills Shopping Center,"2780 South Colorado Boulevard, Suite 310",University Hills Shopping Center,Denver,CO,80222,1-303-756-7989
31306,Buckhead Station Shopping Center,"3495 Buckhead Loop, Suite 120",Buckhead Station Shopping Center,Atlanta,GA,30326,1-404-266-3559
31309,Gateway Market Shopping Center,"9607 Research Boulevard, Suite 600",Gateway Market Shopping Center,Austin,TX,78759,1-512-794-0708
31311,The Promenade at Frank Lloyd W,16231 North Scottsdale Road,The Promenade at Frank Lloyd W,Scottsdale,AZ,85254,1-480-609-1009
31312,Snellville Pavilion,"2059 Scenic Highway, Suite 107",Snellville Pavilion,Snellville,GA,30078,1-770-979-7151
31314,Mall of Georgia Crossing,"3205 Woodward Crossing Boulevard, Suite 220",Mall of Georgia Crossing,Buford,GA,30519,1-678-482-1887
31315,Baybrook Village,1507B West Bay Area Boulevard,Baybrook Village,Webster,TX,77598,1-281-557-1715
31316,Trinity Commons,"3000 South Hulen St, Suite 130",Trinity Commons,Fort Worth,TX,76109,1-817-292-9575
31317,Deerbrook Marketplace,20530 US Highway 59 North,Deerbrook Marketplace,Humble,TX,77338,1-281-548-0180
31318,The Court of Oxford Valley,146 Commerce Boulevard,The Court of Oxford Valley,Fairless Hills,PA,19030,1-215-269-9848
31320,Concord Mall,4803 Concord Pike,Concord Mall,Wilmington,DE,19803,1-302-479-9917
31321,Collin Creek Village,"721 North Central Expressway, Suite 300",Collin Creek Village,Plano,TX,75075,1-972-633-3853
31322,Montgomery Square,1221 Knapp Road,Montgomery Square,North Wales,PA,19454,1-215-616-4601
31324,West Ridge Court,"2707 Aurora Avenue, Suite 123",West Ridge Court,Naperville,IL,60540,1-630-527-0065
31325,Round Rock,"2701 Parker Road, Bldg C",Round Rock,Round Rock,TX,78681,1-512-310-7051
31326,Gateway Plaza,2900 East Southlake Boulevard,Gateway Plaza,Southlake,TX,76092,1-817-749-0582
31327,Greentree Retail Center,455 South Fry Road,Greentree Retail Center,Katy,TX,77450,1-281-646-8808
31328,The Shops at North East Mall,880 Northeast Mall Boulevard,The Shops at North East Mall,Hurst,TX,76053,1-817-590-8057
31329,Lakewood City Commons,489 South Wadsworth Boulevard,Lakewood City Commons,Lakewood,CO,80226,1-303-984-0202
31330,Broadcasting Square Shopping Center,2755 Paper Mill Road,Broadcasting Square Shopping Center,Wyomissing,PA,19610,1-610-372-9939
31331,Old Orchard Place Mall,9635 Skokie Boulevard,Old Orchard Place Mall,Skokie,IL,60077,1-847-675-7320
31332,Center at Preston Ridge,3333 Preston Road,Center at Preston Ridge,Frisco,TX,75034,1-972-668-4171
31333,Chandler Festival,2680 West Chandler Boulevard,Chandler Festival,Chandler,AZ,85224,1-480-792-0457
31334,Silverado Ranch Plaza,9857 South Eastern Avenue,Silverado Ranch Plaza,Las Vegas,NV,89183,1-702-270-2410
31335,Metroplex Shopping Center,2540 Chemical Road,Metroplex Shopping Center,Plymouth Meeting,PA,19462,1-610-834-8323
31337,Creekside Town Center,"1232 Galleria Boulevard, Suite 100",Creekside Town Center,Roseville,CA,95678,1-916-780-1117
31338,East Gate Square,1470 Nixon Drive,East Gate Square,Mt. Laurel,NJ,8054,1-856-642-7390
31339,Woodstock Shopping Center,124 Woodstock Square Avenue,Woodstock Shopping Center,Woodstock,GA,30189,1-678-494-0081
31340,Willow Ridge Plaza,720 Route 73S,Willow Ridge Plaza,Marlton,NJ,8053,1-856-596-9484
31342,Desert Ridge Shopping Center,"21001 North Tatum Boulevard, Suite 72",Desert Ridge Shopping Center,Phoenix,AZ,85050,1-480-502-4331
31343,Nassau Park Pavilion,540 Nassau Park Boulevard,Nassau Park Pavilion,Princeton,NJ,8540,1-609-452-1266
31344,Laguna Gateway,9141 West Stockton Boulevard,Laguna Gateway,Elk Grove,CA,95758,1-916-478-2610
31345,The Shops at Kildeer,"20505 North Rand Road, Suite 220",The Shops at Kildeer,Kildeer,IL,60047,1-847-550-9309
31346,Jefferson Pointe Shopping Center,"4220 West Jefferson Boulevard, Suite 4",Jefferson Pointe Shopping Center,Fort Wayne,IN,46804,1-260-459-0041
31347,Paddock Shops,4292 Summit Plaza Drive,Paddock Shops,Louisville,KY,40241,1-502-326-9958
31349,La Jolla Village Square,8657 Villa La Jolla Drive,La Jolla Village Square,La Jolla,CA,92037,1-858-202-0612
31350,The Stacks at the Waterfront,105 West Bridge Street,The Stacks at the Waterfront,Homestead,PA,15120,1-412-461-4913
31355,Clybourn Square,"2754 North Clybourn Avenue, Space A2",Clybourn Square,Chicago,IL,60614,1-773-472-6720
31356,Riverdale Village,3583 River Rapids Drive,Riverdale Village,Coon Rapids,MN,55448,1-763-323-0664
31357,City Place at the Promenade,82 The Promenade,City Place at the Promenade,Edgewater,NJ,7020,1-201-313-0049
31358,Marketplace at Birdcage,5927 Sunrise Boulevard,Marketplace at Birdcage,Citrus Heights,CA,95610,1-916-535-0021
31359,Holmdel Commons,2130 Route 35 South,Holmdel Commons,Holmdel,NJ,7733,1-732-796-9300
31360,Cary Crossroads,409 Crossroads Boulevard,Cary Crossroads,Cary,NC,27518,1-919-859-1970
31362,Quail Springs Marketplace,2340 West Memorial Road,Quail Springs Marketplace,Oklahoma City,OK,73134,1-405-302-4900
31363,South Park Shopping Center,"3220 Nicholasville Road, Suite 147",South Park Shopping Center,Lexington,KY,40503,1-859-272-1022
31365,Southroads Shopping Center,4915 A East 41st Street,Southroads Shopping Center,Tulsa,OK,74135,1-918-664-5916
31366,The Forum at Carlsbad,1905 Calle Barcelona,The Forum at Carlsbad,Carlsbad,CA,92009,1-760-635-1625
31367,The Shops at Briargate,"1845 Briargate Parkway, Suite 407",The Shops at Briargate,Colorado Springs,CO,80920,1-719-548-9895
31368,Stonecrest Center,7844 Rea Road,Stonecrest Center,Charlotte,NC,28277,1-704-540-9090
31369,El Camino North,2645 Vista Way Retail,El Camino North,Oceanside,CA,92054,1-760-439-2704
31370,The Shoppes at Arbor Lakes,12181 Elm Creek Boulevard,The Shoppes at Arbor Lakes,Maple Grove,MN,55369,1-763-425-5385
31371,Village Crossing Shopping Center,5481 Touhy Avenue,Village Crossing Shopping Center,Skokie,IL,60077,1-847-329-1445
31373,Hunt Valley Towne Centre,"118 Shawan Road, Suite O",Hunt Valley Towne Centre,Cockeysville,MD,21030,1-410-527-9960
31376,Best Buy Center,6575 Frontier Drive,Best Buy Center,Springfield,VA,22150,1-703-971-7900
31377,Hastings Village Shopping Center,3393 East Foothill Boulevard,Hastings Village Shopping Center,Pasadena,CA,91107,1-626-351-3297
31380,Chino Spectrum Towne Center,4041 Grand Avenue,Chino Spectrum Towne Center,Chino,CA,91710,1-909-627-2466
31381,Cotswold Village Shops,236 South Sharon Amity Road,Cotswold Village Shops,Charlotte,NC,28211,1-704-442-8404
31382,Hacienda Crossings,4948 Dublin Boulevard,Hacienda Crossings,Dublin,CA,94568,1-925-828-5040
31383,Plaza on Richmond,5140 Richmond Avenue,Plaza on Richmond,Houston,TX,77056,1-713-621-9120
31384,Commons at Willowbrook,7744 FM 1960 Road W,Commons at Willowbrook,Houston,TX,77070,1-281-894-7182
31385,Bell Tower,"13499 South Cleveland Avenue, Suite 301",Bell Tower,Ft. Myers,FL,33907,1-239-334-0659
31386,Waterford Lakes Town Center,841 Alafaya Trail,Waterford Lakes Town Center,Orlando,FL,32828,1-407-384-8488
31387,The Plaza at Citrus Park,12715 Citrus Plaza Drive,The Plaza at Citrus Park,Tampa,FL,33625,1-813-926-7110
31388,Downtown Silver Spring,914 Ellsworth Drive,Downtown Silver Spring,Silver Spring,MD,20910,1-301-588-8744
31389,Cerritos Towne Center,12771 Towne Center Drive,Cerritos Towne Center,Cerritos,CA,90703,1-562-403-0229
31390,West Hollywood Gateway,"7100 Santa Monica Boulevard, Suite 210",West Hollywood Gateway,West Hollywood,CA,90046,1-323-878-2524
31391,Palm Valley Pavilions West,1450 North Litchfield Road,Palm Valley Pavilions West,Goodyear,AZ,85395,1-623-935-4186
31392,Victoria Gardens,7905 Kew Avenue,Victoria Gardens,Rancho Cucamonga,CA,91739,1-909-646-7012
31393,Peoria Crossings,9280 West Northern Avenue,Peoria Crossings,Glendale,AZ,85345,1-623-772-0733
31394,Kendallgate Shopping Center,12054 Southwest 88th Street,Kendallgate Shopping Center,Miami,FL,33186,1-305-598-2440
31395,Pembroke Crossings,11850 Pines Boulevard,Pembroke Crossings,Pembroke Pines,FL,33026,1-954-438-6330
31398,Central Park Shopping Center,1696 Carl D. Silver Parkway,Central Park Shopping Center,Fredericksburg,VA,22401,1-540-786-3338
31399,Silver Lake Village Shopping Center,3133 Silver Lake Village Drive,Silver Lake Village Shopping Center,Pearland,TX,77584,1-713-436-6955
31400,Huntington Beach,"7777 Edinger Avenue, Suite 130",Huntington Beach,Huntington Beach,CA,92647,1-714-891-9708
31401,Congressional Plaza,1631 Rockville Pike,Congressional Plaza,Rockville,MD,20852,1-301-231-5386
31402,Fashion Mall Commons,"8487 Union Chapel Road, Unit 720",Fashion Mall Commons,Indianapolis,IN,46240,1-317-251-0920
31403,Monroeville Mall,701 Monroeville Mall,Monroeville Mall,Monroeville,PA,15146,1-412-374-1318
31404,Park Place Mall,"5870 East Broadway Boulevard, Suite 442",Park Place Mall,Tucson,AZ,85711,1-520-512-4645
31405,Chesterfield Towne Center,"11500 Midlothian Turnpike, Suite 800",Chesterfield Towne Center,Richmond,VA,23235,1-804-594-7040
31406,Fremont Hub Retail Center,39221 Fremont Hub,Fremont Hub Retail Center,Fremont,CA,94538,1-510-796-1437
31407,Tamarack Shopping Center,8290 Tamarack Village,Tamarack Shopping Center,Woodbury,MN,55125,1-651-738-1654
31408,Colonies Crossroads,1927 North Campus Avenue,Colonies Crossroads,Upland,CA,91784,1-909-931-0608
31410,Surprise Marketplace,13707 West Bell Road,Surprise Marketplace,Surprise,AZ,85374,1-623-214-2779
31411,Brookfield Fashion Center,16970 West Blue Mound Road,Brookfield Fashion Center,Brookfield,WI,53005,1-262-785-0980
31412,Fair City Mall,"9600 Main Street, Suite U",Fair City Mall,Fairfax,VA,22031,1-703-426-5313
31413,Gateway Station,12864 South Freeway,Gateway Station,Burleson,TX,76028,1-817-426-4428
31414,Alderwood,"19401 Alderwood Mall Parkway, Suite 130",Alderwood,Lynnwood,WA,98036,1-425-673-0405
31415,Renaissance Center IV,6923 Fayetteville Road,Renaissance Center IV,Durham,NC,27713,1-919-405-2223
31417,San Tan Marketplace,2779 South Market Street,San Tan Marketplace,Gilbert,AZ,85295,1-480-726-3777
31418,Happy Valley Towne Center,"2501 West Happy Valley Road, Suite 38",Happy Valley Towne Center,Phoenix,AZ,85085,1-623-581-6766
31419,Tempe Marketplace,"55 South McClintock Drive, Suite 155",Tempe Marketplace,Tempe,AZ,85281,1-480-968-8200
31420,Rockaway Towne Plaza,"395 Mount Hope Avenue, Suite 450",Rockaway Towne Plaza,Rockaway,NJ,7866,1-973-361-4644
31421,Prestonwood Town Center,"5301 Belt Line Road, Suite 114",Prestonwood Town Center,Dallas,TX,75254,1-972-788-4071
31422,Cedar Hills Crossings,"3255 Southwest Cedar Hills Boulevard, Suite 150",Cedar Hills Crossings,Beaverton,OR,97005,1-503-643-7080
31423,The Promenade at Sacramento Gateway,3591 North Freeway Boulevard,The Promenade at Sacramento Gateway,Sacramento,CA,95834,1-916-285-6450
31425,Parkway Super Center,17320 South Center Parkway,Parkway Super Center,Tukwila,WA,98188,1-206-575-1444
31426,The Shops at Greenridge,"1125 Woodruff Road, Suite 1191",The Shops at Greenridge,Greenville,SC,29607,1-864-288-7444
31427,Mayfaire Towne Center,840 Inspiration Drive,Mayfaire Towne Center,Wilmington,NC,28405,1-910-509-2122
31429,Jordan Creek Town Center,"6805 Mills Civic Parkway, Suite 110",Jordan Creek Town Center,West Des Moines,IA,50266,1-515-224-4717
31433,Oracle Wetmore,4368 North Oracle,Oracle Wetmore,Tucson,AZ,85705,1-520-888-0806
31434,Shops at Coconut Point,8054 Mediterranean Drive,Shops at Coconut Point,Estero,FL,33928,1-239-992-0361
31435,Mt. Pleasant Towne Centre,1740 Towne Centre Way,Mt. Pleasant Towne Centre,Mt. Pleasant,SC,29464,1-843-856-8500
31436,Bridgepointe Shopping Center,3010 Bridgepointe Parkway,Bridgepointe Shopping Center,San Mateo,CA,94404,1-650-638-1473
31437,Sparks Crossing,177 Los Altos Parkway,Sparks Crossing,Sparks,NV,89436,1-775-626-5325
31438,Logan Town Center,205 Falon Lane,Logan Town Center,Altoona,PA,16602,1-814-942-8571
31439,Arlington Highlands,"4000 Retail Connection Way, Suite 113",Arlington Highlands,Arlington,TX,76018,1-817-468-2244
31441,The Village at Sandhill,214 Forum Drive,The Village at Sandhill,Columbia,SC,29229,1-803-462-1488
31442,The District at Tustin Legacy,2863 Park Avenue,The District at Tustin Legacy,Tustin,CA,92780,1-714-566-1706
31443,York Town Center,2835 Concord Road,York Town Center,York,PA,17402,1-717-751-0422
31444,Brookside Marketplace,7350 West 191st Street,Brookside Marketplace,Tinley Park,IL,60487,1-815-806-2659
31445,The Shops at Perry Crossing,"301 Marketplace Mile, Suite 120",The Shops at Perry Crossing,Plainfield,IN,46168,1-317-837-9652
31446,The Crossing at Corona,"2541 Tuscany Street, Suite 103",The Crossing at Corona,Corona,CA,92881,1-951-582-0833
31447,The Avenue at White Marsh,8165-C Honeygo Boulevard,The Avenue at White Marsh,Baltimore,MD,21236,1-410-931-4902
31448,The Shoppes at Orange Plaza,444 Route 211 East,The Shoppes at Orange Plaza,Middletown,NY,10940,1-845-344-1997
31449,Winter Park Village,520 North Orlando Avenue,Winter Park Village,Winter Park,FL,32789,1-407-643-9129
31450,The Rim,17414 La Cantera Parkway,The Rim,San Antonio,TX,78257,1-210-877-9908
31451,Hunters Square,30837 Orchard Lake Road,Hunters Square,Farmington Hills,MI,48334,1-248-539-5819
31452,Miracle Marketplace,"3301 Southwest 22nd Street, Suite 203",Miracle Marketplace,Miami,FL,33145,1-305-704-6811
31453,Cross Point Center,"5075 Morganton Road, Suite 9",Cross Point Center,Fayetteville,NC,28314,1-910-487-0281
31454,Marketplace Boulevard,2295 Market Place Boulevard,Marketplace Boulevard,Cumming,GA,30041,1-770-887-2429
31455,Marketplace on First,"4651 1st  Avenue Southeast, Suite 3",Marketplace on First,Cedar Rapids,IA,52402,1-319-294-3100
31456,Abercorn Common,"8108 Abercorn Street, Suite 310",Abercorn Common,Savannah,GA,31406,1-912-920-3316
31457,The District at Howell Mill,"1801 Howell Mill Road, Suite 240",The District at Howell Mill,Atlanta,GA,30318,1-404-355-1326
31458,Parkdale Mall,"6155 Eastex Freeway, Suite C-350",Parkdale Mall,Beaumont,TX,77706,1-409-892-2083
31459,Superstition Gateway,1614 South Signal Butte Road,Superstition Gateway,Mesa,AZ,85209,1-480-357-8181
31460,The Forum at Ashley Park,338 Newnan Crossing Bypass,The Forum at Ashley Park,Newnan,GA,30265,1-770-252-2268
31461,Arroyo Market Square,"7265 Arroyo Crossing Parkway, Suite 110",Arroyo Market Square,Las Vegas,NV,89113,1-702-263-0315
31462,Lake Pleasant Towne Center,10084 West Happy Valley Parkway,Lake Pleasant Towne Center,Peoria,AZ,85383,1-623-825-2652
31463,Winter Garden Village at Fowler Grove,3203 Daniels Road,Winter Garden Village at Fowler Grove,Winter Garden,FL,34787,1-407-656-0051
31464,Cameron Crossing,"1751 North Central Expressway, Building G #100",Cameron Crossing,McKinney,TX,75070,1-972-542-9192
31465,Mooresville Crossing,609 River Highway,Mooresville Crossing,Mooresville,NC,28117,1-704-664-2745
31466,Canyon West,6070 Marsha Sharp Freeway,Canyon West,Lubbock,TX,79407,1-806-799-2212
31467,Columbia Tech Center,16521 Southeast Mill Plain Boulevard,Columbia Tech Center,Vancouver,WA,98684,1-360-896-4397
31468,The Shops at Fox Valley,3206 Shoppers Drive,The Shops at Fox Valley,McHenry,IL,60050,1-815-344-2028
31469,Gateway Overlook,8241 Gateway Overlook Drive,Gateway Overlook,Elkridge,MD,21075,1-410-290-0022
31470,Fort Smith Pavilion,3985 Phoenix Avenue,Fort Smith Pavilion,Fort Smith,AR,72903,1-479-646-7236
31471,The Columns,1151 Vann Drive,The Columns,Jackson,TN,38305,1-731-512-0419
31472,Green Oak Village Place,9830 Village Place Boulevard,Green Oak Village Place,Brighton,MI,48116,1-810-225-0365
31473,Fair Lakes Center,13048 A  Fair Lakes Center,Fair Lakes Center,Fairfax,VA,22033,1-703-222-6060
31475,University Commons,1461-B University Drive,University Commons,Burlington,NC,27215,1-336-538-2025
31477,Southland Mall,"20505 South Dixie Highway, Suite 605",Southland Mall,Miami,FL,33189,1-305-969-8029
31478,Grand Plaza,185 South Las Posas Drive,Grand Plaza,San Marcos,CA,92078,1-760-744-0853
31479,Prairie Market,2510 Route 34,Prairie Market,Oswego,IL,60543,1-630-554-4625
31480,Silver Springs Square,"6416 Carlisle Pike, Suite 2400",Silver Springs Square,Mechanicsburg,PA,17050,1-717-766-7100
31481,Shops at Isla Verde,1020 South State Road 7,Shops at Isla Verde,Wellington,FL,33414,1-561-204-2446
31482,Washington St.,"103 South Washington Street, Suite 109",Washington St.,Naperville,IL,60540,1-630-718-0609
31483,Miami Beach,337 Lincoln Road,Miami Beach,Miami Beach,FL,33139,1-305-538-7316
31485,Beaver Creek Crossing,1521 Beaver Creek Commons Driveiv,Beaver Creek Crossing,Apex,NC,27502,1-919-362-0415
31486,Harvest Junction North,"210 Ken Pratt Boulevard, Suite 160",Harvest Junction North,Longmont,CO,80501,1-303-776-0354
31487,The Grove at Wesley Chapel,5953 Wesley Grove Boulevard,The Grove at Wesley Chapel,Wesley Chapel,FL,33544,1-813-991-7220
31488,The Avenue at Murfreesboro,"2615 Medical Center Parkway, #800",The Avenue at Murfreesboro,Murfreesboro,TN,37129,1-615-849-7454
31489,Crossroads of Roseville,1655 County Road B2 West,Crossroads of Roseville,Roseville,MN,55113,1-651-239-1640
31490,Southlands,"24101 East Orchard Road, Unit D",Southlands,Aurora,CO,80016,1-303-627-0060
31491,Baldwin Commons,4830 South Baldwin,Baldwin Commons,Orion Township,MI,48359,1-248-393-2769
31492,Nyberg Woods,7081 Southwest Nyberg Street,Nyberg Woods,Tualatin,OR,97062,1-503-692-1501
31493,Conroe Marketplace,2928 I-45 North,Conroe Marketplace,Conroe,TX,77303,1-936-494-4030
31494,Burbank Empire Center,1351 North Victory Place,Burbank Empire Center,Burbank,CA,91502,1-818-565-5646
31495,Waterside Marketplace,50523 Waterside Drive,Waterside Marketplace,Chesterfield Township,MI,48051,1-586-949-4617
31496,Columbus Park Crossing,"5550 Whittlesey Road, Suite 600",Columbus Park Crossing,Columbus,GA,31909,1-706-660-1858
31497,Dayton Mall - Streetscape,2700 Miamisburg Centerville Road #864,Dayton Mall - Streetscape,Dayton,OH,45459,1-937-291-0196
31498,L Street Marketplace,12430 K Plaza,L Street Marketplace,Omaha,NE,68137,1-402-330-1569
31499,Horsham Gate,"100 Welsh Road, Suite 102",Horsham Gate,Horsham,PA,19044,1-215-659-1816
31500,The Commons at Southtowne,10409 South State Street,The Commons at Southtowne,Sandy,UT,84070,1-801-572-0382
31501,Alpine Summit Shopping Center,"3165 Alpine Avenue, Suite B",Alpine Summit Shopping Center,Walker,MI,49544,1-616-784-2410
31502,Vintage Commons,"3900 Sisk Road, Suite J1",Vintage Commons,Modesto,CA,95356,1-209-543-3871
31503,The Promenade at Bolingbrook,"641 East Boughton Road, Suite 100",The Promenade at Bolingbrook,Bolingbrook,IL,60440,1-630-783-0018
31504,Plaza at Rockwall,999 East I.H. 30,Plaza at Rockwall,Rockwall,TX,75087,1-972-772-5014
31505,Southpark Meadows Shopping Center,"9500 South IH 35 Service Road SB, Building I",Southpark Meadows Shopping Center,Austin,TX,78748,1-512-292-1784
31506,The Landing at Tradition,10740 Southwest Village Parkway,The Landing at Tradition,Port St. Lucie,FL,34987,1-772-345-2740
31507,Bridgewater Falls,3347 Princeton Road,Bridgewater Falls,Hamilton,OH,45011,1-513-863-6200
31508,The Plaza At Southpark,16640 Royalton Road,The Plaza At Southpark,Strongsville,OH,44136,1-440-238-0371
31509,Robertson's Creek,"5801 Long Prairie Road, Suite 120",Robertson's Creek,Flower Mound,TX,75028,1-972-539-3762
31510,Coastal Grand Mall,710 Coastal Grand Circle,Coastal Grand Mall,Myrtle Beach,SC,29577,1-843-448-0900
31511,Algonquin Commons,1804 South Randall Road,Algonquin Commons,Algonquin,IL,60102,1-847-458-0743
31512,The Shops at Soncy,2814 South Soncy Road,The Shops at Soncy,Amarillo,TX,79124,1-806-355-1176
31513,The Plant,31 Curtner Avenue,The Plant,San Jose,CA,95125,1-408-924-0718
31514,Westgate Marketplace,6417 Southwest 3rd Street,Westgate Marketplace,Oklahoma City,OK,73127,1-405-491-6223
31515,Northgate Mall,"401 Northeast Northgate Way, Suite 1110",Northgate Mall,Seattle,WA,98125,1-206-367-3462
31516,University Town Center,103 North Cattlemen Road,University Town Center,Sarasota,FL,34243,1-941-351-6037
31517,The Mercato,"9100 Strada Place, Suite 2105",The Mercato,Naples,FL,34108,1-239-514-0151
31518,Towne Place at Garden State Park,907 Haddonfield Road,Towne Place at Garden State Park,Cherry Hill,NJ,8002,1-856-662-2947
31519,Canton Marketplace,"1810 Cumming Highway, Suite 640",Canton Marketplace,Canton,GA,30115,1-770-479-4656
31520,Villaggio Retail Center,7911 North Blackstone Avenue,Villaggio Retail Center,Fresno,CA,93720,1-559-490-0907
31521,North Haven Commons,370 North Universal Drive,North Haven Commons,North Haven,CT,6473,1-203-234-1489
31522,Burnhaven Mall,830 County Road 42 West,Burnhaven Mall,Burnsville,MN,55337,1-952-435-0001
31523,The Village at Colony Place,188 Colony Place,The Village at Colony Place,Plymouth,MA,2360,1-508-746-4811
31524,Dothan Pavilion,"4401 Montgomery Highway, Suite 500",Dothan Pavilion,Dothan,AL,36303,1-334-671-7003
31525,Westgate Mall,3181 Westgate,Westgate Mall,Fairview Park,OH,44126,1-440-331-4078
31526,Shadow Lake Towne Center,7701 Towne Center Parkway,Shadow Lake Towne Center,Papillion,NE,68046,1-402-592-1190
31528,Manchester Highlands,121 Highlands Boulevard Drive,Manchester Highlands,Manchester,MO,63011,1-636-527-6974
31529,Oakleaf Town Center,9625 Crosshill Boulevard,Oakleaf Town Center,Jacksonville,FL,32222,1-904-771-1162
31530,Promenade at Casa Grande,"1004 North Promenade Parkway, Suite 136",Promenade at Casa Grande,Casa Grande,AZ,85194,1-520-836-2313
31532,Eastchase Market Center,7981 Eastchase Parkway,Eastchase Market Center,Montgomery,AL,36117,1-334-271-2656
31533,North Attleboro Marketplace,"1360 South Washington Street, Unit 1",North Attleboro Marketplace,North Attleboro,MA,2760,1-508-695-0512
31534,Market Heights Shopping Center,"201 East Central Texas Expressway, Suite 400",Market Heights Shopping Center,Harker Heights,TX,76548,1-254-690-1329
31535,Best in the West,2186 North Rainbow Boulevard,Best in the West,Las Vegas,NV,89108,1-702-631-3668
31536,El Paseo Marketplace,1864 Joe Battle Boulevard,El Paseo Marketplace,El Paso,TX,79936,1-915-857-0632
31537,Sunland Plaza,"813 Sunland Park Drive, Suite B",Sunland Plaza,El Paso,TX,79912,1-915-581-0314
31538,Shoppes of Mentor,9623 Mentor Avenue,Shoppes of Mentor,Mentor,OH,44060,1-440-354-6277
31539,Alliance Town Center,9561 Sage Meadow Trail,Alliance Town Center,Fort Worth,TX,76177,1-817-750-1400
31540,Uptown Village at Cedar Hill,"305 West FM 1382, Suite 530",Uptown Village at Cedar Hill,Cedar Hill,TX,75104,1-972-291-3587
31541,Alamo Ranch,"5347 West Loop 1604 North, Suite 109",Alamo Ranch,San Antonio,TX,78253,1-210-681-2077
31542,The Terrace,"2220 Hamilton Place Boulevard, Suite 110",The Terrace,Chattanooga,TN,37421,1-423-893-0598
31543,New Hartford Consumer Square,4733 Commercial Drive,New Hartford Consumer Square,New Hartford,NY,13413,1-315-768-7864
31545,Midtown Shopping Center,"1800 McFarland Boulevard East, Suite 522",Midtown Shopping Center,Tuscaloosa,AL,35404,1-205-342-2388
31546,Fremaux Town Center,230 Town Center,Fremaux Town Center,Slidell,LA,70458,1-985-781-8971
31547,Canyon View Marketplace,"632 Market Street, Suite 500",Canyon View Marketplace,Grand Junction,CO,81505,1-970-263-5440
31548,Sherwood Mall,5410 Pacific Avenue,Sherwood Mall,Stockton,CA,95207,1-209-235-1209
31549,Hamilton Town Center,"14002 Hoard Drive, Suite 100",Hamilton Town Center,Noblesville,IN,46060,1-317-770-8531
